VM Arguments: 
sun.java.command=Harness Richards 10 100
StubCompilation-162            <stub>                                                                 exceptionHandler                              (Object,Word)void                                   |  277us     0B bytecodes   102B codesize   133kB allocated start=0x00007fbca6cc3080
HotSpotCompilation-179         Ljava/lang/StringLatin1;                                               equals                                        ([B[B)Z                                             | 3000us    72B bytecodes   406B codesize  1121kB allocated start=0x00007fbca712d300
StubCompilation-163            <stub>                                                                 OSR_migration_end                             (long)void                                          |  349us     0B bytecodes   456B codesize   136kB allocated start=0x00007fbca6cc3380
StubCompilation-164            <stub>                                                                 write_barrier_pre                             (Object)void                                        |  261us     0B bytecodes   456B codesize   136kB allocated start=0x00007fbca6cc3680
StubCompilation-165            <stub>                                                                 write_barrier_post                            (Word)void                                          |  252us     0B bytecodes   456B codesize   136kB allocated start=0x00007fbca6cc3980
HotSpotOSRCompilation-525      Lrichards/Scheduler;                                                   schedule                                      ()V                                                (OSR@8)  | 31376us   732B bytecodes  3124B codesize 13715kB allocated start=0x00007fbca712d760
HotSpotCompilation-531         Lrichards/Scheduler;                                                   lambda$createWorker$3                         (Lrichards/Packet;Lrichards/RBObject;)Lrichards/TaskControlBlock;  | 5893us   654B bytecodes  1475B codesize  3637kB allocated start=0x00007fbca712e820
HotSpotCompilation-197         Ljdk/internal/util/ArraysSupport;                                      signedHashCode                                (I[BII)I                                            | 3180us    74B bytecodes   819B codesize  2372kB allocated start=0x00007fbca712f200
HotSpotCompilation-524         Lrichards/RBObject;                                                    append                                        (Lrichards/Packet;Lrichards/Packet;)Lrichards/Packet;  | 1628us   100B bytecodes   630B codesize  1145kB allocated start=0x00007fbca712f7a0
HotSpotOSRCompilation-199      Ljava/lang/StringCoding;                                               countPositives                                ([BII)I                                            (OSR@7)  | 1855us    66B bytecodes   541B codesize  1325kB allocated start=0x00007fbca712fc80
HotSpotCompilation-532         Lrichards/Scheduler;                                                   schedule                                      ()V                                                 | 10320us   190B bytecodes  1608B codesize  5505kB allocated start=0x00007fbca7130ac0
HotSpotCompilation-468         Lrichards/TaskState;                                                   isTaskHoldingOrWaiting                        ()Z                                                 |  505us    54B bytecodes   159B codesize   327kB allocated start=0x00007fbca7131400
HotSpotCompilation-480         Lrichards/TaskControlBlock;                                            runTask                                       ()Lrichards/TaskControlBlock;                       | 12803us  1372B bytecodes  2937B codesize  7287kB allocated start=0x00007fbca71317c0
HotSpotCompilation-505         Lrichards/Scheduler$$Lambda.0x00007fbc3c008440;                        apply                                         (Lrichards/Packet;Lrichards/RBObject;)Lrichards/TaskControlBlock;  | 5043us   616B bytecodes  1649B codesize  3092kB allocated start=0x00007fbca7133120
HotSpotCompilation-508         Lrichards/Scheduler;                                                   lambda$createDevice$0                         (Lrichards/Packet;Lrichards/RBObject;)Lrichards/TaskControlBlock;  | 4647us   596B bytecodes  1622B codesize  2923kB allocated start=0x00007fbca7133c40
HotSpotCompilation-522         Lrichards/Scheduler;                                                   lambda$createHandler$1                        (Lrichards/Packet;Lrichards/RBObject;)Lrichards/TaskControlBlock;  | 12527us  1368B bytecodes  4216B codesize  7791kB allocated start=0x00007fbca7134780
HotSpotCompilation-521         Lrichards/TaskControlBlock;                                            addInputAndCheckPriority                      (Lrichards/Packet;Lrichards/TaskControlBlock;)Lrichards/TaskControlBlock;  | 2698us   202B bytecodes  1117B codesize  1867kB allocated start=0x00007fbca7135ea0
HotSpotCompilation-523         Lrichards/Scheduler;                                                   queuePacket                                   (Lrichards/Packet;)Lrichards/TaskControlBlock;      | 1279us   174B bytecodes   393B codesize   699kB allocated start=0x00007fbca7136620
HotSpotCompilation-520         Lrichards/Scheduler$$Lambda.0x00007fbc3c008220;                        apply                                         (Lrichards/Packet;Lrichards/RBObject;)Lrichards/TaskControlBlock;  |  731us    20B bytecodes   164B codesize   348kB allocated start=0x00007fbca7136aa0
